Use,Name,Method,Deprecated Means Don’t Use,Description
#NAME?,ShaahZmanis19Point8Degrees,getShaahZmanis19Point8Degrees(),,"Method to return a <em>shaah zmanis</em> (temporal hour) calculated using a 19.8&deg; dip. This calculation divides the day based on the opinion of the <a href=""https://en.wikipedia.org/wiki/Avraham_Gombinern"">Magen Avraham (MGA)</a> that the day runs from dawn to dusk. Dawn for this calculation is when the sun is 19.8&deg; below the eastern geometric horizon before sunrise. Dusk for this is when the sun is 19.8&deg; below the western geometric horizon after sunset. This day is split into 12 equal parts with each part being a <em>shaah zmanis</em>.@return the <code>long</code> millisecond length of a <em>shaah zmanis</em>. If the calculation can't be computed         such as northern and southern locations even south of the Arctic Circle and north of the Antarctic Circle         where the sun may not reach low enough below the horizon for this calculation, a {@link Long#MIN_VALUE}         will be returned. See detailed explanation on top of the {@link AstronomicalCalendar} documentation. -- Method to return a  -- <em> -- shaah zmanis -- </em> --  (temporal hour) calculated using a 19.8 -- &deg; --  dip. -- This calculation divides the day based on the opinion of the  -- <a href=""https://en.wikipedia.org/wiki/Avraham_Gombinern""> -- href=""https://en.wikipedia.org/wiki/Avraham_Gombinern"" -- https://en.wikipedia.org/wiki/Avraham_Gombinern -- Magen Avraham (MGA) -- </a> --  that the day runs from dawn to dusk. Dawn for this calculation is when the sun is 19.8 -- &deg; --  below the eastern geometric horizon before sunrise. Dusk for this is when the sun is 19.8 -- &deg; --  below the western geometric horizon after sunset. This day is split into 12 equal parts with each part being a  -- <em> -- shaah zmanis -- </em> -- . -- @return the <code>long</code> millisecond length of a <em>shaah zmanis</em>. If the calculation can't be computed         such as northern and southern locations even south of the Arctic Circle and north of the Antarctic Circle         where the sun may not reach low enough below the horizon for this calculation, a {@link Long#MIN_VALUE}         will be returned. See detailed explanation on top of the {@link AstronomicalCalendar} documentation. -- the  -- <code> -- long -- </code> --  millisecond length of a  -- <em> -- shaah zmanis -- </em> -- . If the calculation can't be computed         such as northern and southern locations even south of the Arctic Circle and north of the Antarctic Circle         where the sun may not reach low enough below the horizon for this calculation, a  -- {@link Long#MIN_VALUE} -- Long#MIN_VALUE --          will be returned. See detailed explanation on top of the  -- {@link AstronomicalCalendar} -- AstronomicalCalendar --  documentation. -- "
yes,ShaahZmanis18Degrees,getShaahZmanis18Degrees(),,"Method to return a <em>shaah zmanis</em> (temporal hour) calculated using a 18&deg; dip. This calculation divides the day based on the opinion of the <a href=""https://en.wikipedia.org/wiki/Avraham_Gombinern"">Magen Avraham (MGA)</a> that the day runs from dawn to dusk. Dawn for this calculation is when the sun is 18&deg; below the eastern geometric horizon before sunrise. Dusk for this is when the sun is 18&deg; below the western geometric horizon after sunset. This day is split into 12 equal parts with each part being a <em>shaah zmanis</em>.@return the <code>long</code> millisecond length of a <em>shaah zmanis</em>. If the calculation can't be computed         such as northern and southern locations even south of the Arctic Circle and north of the Antarctic Circle         where the sun may not reach low enough below the horizon for this calculation, a {@link Long#MIN_VALUE}         will be returned. See detailed explanation on top of the {@link AstronomicalCalendar} documentation. -- Method to return a  -- <em> -- shaah zmanis -- </em> --  (temporal hour) calculated using a 18 -- &deg; --  dip. -- This calculation divides the day based on the opinion of the  -- <a href=""https://en.wikipedia.org/wiki/Avraham_Gombinern""> -- href=""https://en.wikipedia.org/wiki/Avraham_Gombinern"" -- https://en.wikipedia.org/wiki/Avraham_Gombinern -- Magen Avraham (MGA) -- </a> --  that the day runs from dawn to dusk. Dawn for this calculation is when the sun is 18 -- &deg; --  below the eastern geometric horizon before sunrise. Dusk for this is when the sun is 18 -- &deg; --  below the western geometric horizon after sunset. This day is split into 12 equal parts with each part being a  -- <em> -- shaah zmanis -- </em> -- . -- @return the <code>long</code> millisecond length of a <em>shaah zmanis</em>. If the calculation can't be computed         such as northern and southern locations even south of the Arctic Circle and north of the Antarctic Circle         where the sun may not reach low enough below the horizon for this calculation, a {@link Long#MIN_VALUE}         will be returned. See detailed explanation on top of the {@link AstronomicalCalendar} documentation. -- the  -- <code> -- long -- </code> --  millisecond length of a  -- <em> -- shaah zmanis -- </em> -- . If the calculation can't be computed         such as northern and southern locations even south of the Arctic Circle and north of the Antarctic Circle         where the sun may not reach low enough below the horizon for this calculation, a  -- {@link Long#MIN_VALUE} -- Long#MIN_VALUE --          will be returned. See detailed explanation on top of the  -- {@link AstronomicalCalendar} -- AstronomicalCalendar --  documentation. -- "
yes,ShaahZmanis26Degrees,getShaahZmanis26Degrees(),,"Method to return a <em>shaah zmanis</em> (temporal hour) calculated using a dip of 26&deg;. This calculation divides the day based on the opinion of the <a href=""https://en.wikipedia.org/wiki/Avraham_Gombinern"">Magen Avraham (MGA)</a> that the day runs from dawn to dusk. Dawn for this calculation is when the sun is {@link #getAlos26Degrees() 26&deg;} below the eastern geometric horizon before sunrise. Dusk for this is when the sun is {@link #getTzais26Degrees() 26&deg;} below the western geometric horizon after sunset. This day is split into 12 equal parts with each part being a <em>shaah zmanis</em>. Since <em>zmanim</em> that use this method are extremely late or early and at a point when the sky is a long time past the 18&deg; point where the darkest point is reached, <em>zmanim</em> that use this should only be used <em>lechumra</em>, such as delaying the start of nighttime <em>mitzvos</em>.@return the <code>long</code> millisecond length of a <em>shaah zmanis</em>. If the calculation can't be computed         such as northern and southern locations even south of the Arctic Circle and north of the Antarctic Circle         where the sun may not reach low enough below the horizon for this calculation, a {@link Long#MIN_VALUE}         will be returned. See detailed explanation on top of the {@link AstronomicalCalendar} documentation.@see #getShaahZmanis120Minutes() -- Method to return a  -- <em> -- shaah zmanis -- </em> --  (temporal hour) calculated using a dip of 26 -- &deg; -- . -- This calculation divides the day based on the opinion of the  -- <a href=""https://en.wikipedia.org/wiki/Avraham_Gombinern""> -- href=""https://en.wikipedia.org/wiki/Avraham_Gombinern"" -- https://en.wikipedia.org/wiki/Avraham_Gombinern -- Magen Avraham (MGA) -- </a> --  that the day runs from dawn to dusk. Dawn for this calculation is when the sun is  -- {@link #getAlos26Degrees() 26&deg;} -- #getAlos26Degrees() -- 26 -- &deg; --  below the eastern geometric horizon before sunrise. Dusk for this is when the sun is  -- {@link #getTzais26Degrees() 26&deg;} -- #getTzais26Degrees() -- 26 -- &deg; --  below the western geometric horizon after sunset. This day is split into 12 equal parts with each part being a  -- <em> -- shaah zmanis -- </em> -- . Since  -- <em> -- zmanim -- </em> --  that use this method are extremely late or early and at a point when the sky is a long time past the 18 -- &deg; --  point where the darkest point is reached,  -- <em> -- zmanim -- </em> --  that use this should only be used  -- <em> -- lechumra -- </em> -- , such as delaying the start of nighttime  -- <em> -- mitzvos -- </em> -- . -- @return the <code>long</code> millisecond length of a <em>shaah zmanis</em>. If the calculation can't be computed         such as northern and southern locations even south of the Arctic Circle and north of the Antarctic Circle         where the sun may not reach low enough below the horizon for this calculation, a {@link Long#MIN_VALUE}         will be returned. See detailed explanation on top of the {@link AstronomicalCalendar} documentation. -- the  -- <code> -- long -- </code> --  millisecond length of a  -- <em> -- shaah zmanis -- </em> -- . If the calculation can't be computed         such as northern and southern locations even south of the Arctic Circle and north of the Antarctic Circle         where the sun may not reach low enough below the horizon for this calculation, a  -- {@link Long#MIN_VALUE} -- Long#MIN_VALUE --          will be returned. See detailed explanation on top of the  -- {@link AstronomicalCalendar} -- AstronomicalCalendar --  documentation. -- @see #getShaahZmanis120Minutes() -- #getShaahZmanis120Minutes() -- "
yes,ShaahZmanis16Point1Degrees,getShaahZmanis16Point1Degrees(),,"Method to return a <em>shaah zmanis</em> (temporal hour) calculated using a dip of 16.1&deg;. This calculation divides the day based on the opinion that the day runs from dawn to dusk. Dawn for this calculation is when the sun is 16.1&deg; below the eastern geometric horizon before sunrise and dusk is when the sun is 16.1&deg; below the western geometric horizon after sunset. This day is split into 12 equal parts with each part being a <em>shaah zmanis</em>.@return the <code>long</code> millisecond length of a <em>shaah zmanis</em>. If the calculation can't be computed         such as northern and southern locations even south of the Arctic Circle and north of the Antarctic Circle         where the sun may not reach low enough below the horizon for this calculation, a {@link Long#MIN_VALUE}         will be returned. See detailed explanation on top of the {@link AstronomicalCalendar} documentation.@see #getAlos16Point1Degrees()@see #getTzais16Point1Degrees()@see #getSofZmanShmaMGA16Point1Degrees()@see #getSofZmanTfilaMGA16Point1Degrees()@see #getMinchaGedola16Point1Degrees()@see #getMinchaKetana16Point1Degrees()@see #getPlagHamincha16Point1Degrees() -- Method to return a  -- <em> -- shaah zmanis -- </em> --  (temporal hour) calculated using a dip of 16.1 -- &deg; -- . -- This calculation divides the day based on the opinion that the day runs from dawn to dusk. Dawn for this calculation is when the sun is 16.1 -- &deg; --  below the eastern geometric horizon before sunrise and dusk is when the sun is 16.1 -- &deg; --  below the western geometric horizon after sunset. This day is split into 12 equal parts with each part being a  -- <em> -- shaah zmanis -- </em> -- . -- @return the <code>long</code> millisecond length of a <em>shaah zmanis</em>. If the calculation can't be computed         such as northern and southern locations even south of the Arctic Circle and north of the Antarctic Circle         where the sun may not reach low enough below the horizon for this calculation, a {@link Long#MIN_VALUE}         will be returned. See detailed explanation on top of the {@link AstronomicalCalendar} documentation. -- the  -- <code> -- long -- </code> --  millisecond length of a  -- <em> -- shaah zmanis -- </em> -- . If the calculation can't be computed         such as northern and southern locations even south of the Arctic Circle and north of the Antarctic Circle         where the sun may not reach low enough below the horizon for this calculation, a  -- {@link Long#MIN_VALUE} -- Long#MIN_VALUE --          will be returned. See detailed explanation on top of the  -- {@link AstronomicalCalendar} -- AstronomicalCalendar --  documentation. -- @see #getAlos16Point1Degrees() -- #getAlos16Point1Degrees() -- @see #getTzais16Point1Degrees() -- #getTzais16Point1Degrees() -- @see #getSofZmanShmaMGA16Point1Degrees() -- #getSofZmanShmaMGA16Point1Degrees() -- @see #getSofZmanTfilaMGA16Point1Degrees() -- #getSofZmanTfilaMGA16Point1Degrees() -- @see #getMinchaGedola16Point1Degrees() -- #getMinchaGedola16Point1Degrees() -- @see #getMinchaKetana16Point1Degrees() -- #getMinchaKetana16Point1Degrees() -- @see #getPlagHamincha16Point1Degrees() -- #getPlagHamincha16Point1Degrees() -- "
yes,ShaahZmanis60Minutes,getShaahZmanis60Minutes(),,"Method to return a <em>shaah zmanis</em> (solar hour) according to the opinion of the <a href=""https://en.wikipedia.org/wiki/Avraham_Gombinern"">Magen Avraham (MGA)</a>. This calculation divides the day based on the opinion of the MGA that the day runs from dawn to dusk. Dawn for this calculation is 60 minutes before sunrise and dusk is 60 minutes after sunset. This day is split into 12 equal parts with each part being a <em>shaah zmanis</em>. Alternate methods of calculating a <em>shaah zmanis</em> are available in the subclass {@link ComplexZmanimCalendar}.@return the <code>long</code> millisecond length of a <em>shaah zmanis</em>. If the calculation can't be computed         such as in the Arctic Circle where there is at least one day a year where the sun does not rise, and one         where it does not set, a {@link Long#MIN_VALUE} will be returned. See detailed explanation on top of the         {@link AstronomicalCalendar} documentation.@see #getAlos60()@see #getTzais60()@see #getPlagHamincha60Minutes() -- Method to return a  -- <em> -- shaah zmanis -- </em> --  (solar hour) according to the opinion of the  -- <a href=""https://en.wikipedia.org/wiki/Avraham_Gombinern""> -- href=""https://en.wikipedia.org/wiki/Avraham_Gombinern"" -- https://en.wikipedia.org/wiki/Avraham_Gombinern -- Magen Avraham (MGA) -- </a> -- . -- This calculation divides the day based on the opinion of the MGA that the day runs from dawn to dusk. Dawn for this calculation is 60 minutes before sunrise and dusk is 60 minutes after sunset. This day is split into 12 equal parts with each part being a  -- <em> -- shaah zmanis -- </em> -- . Alternate methods of calculating a  -- <em> -- shaah zmanis -- </em> --  are available in the subclass  -- {@link ComplexZmanimCalendar} -- ComplexZmanimCalendar -- . -- @return the <code>long</code> millisecond length of a <em>shaah zmanis</em>. If the calculation can't be computed         such as in the Arctic Circle where there is at least one day a year where the sun does not rise, and one         where it does not set, a {@link Long#MIN_VALUE} will be returned. See detailed explanation on top of the         {@link AstronomicalCalendar} documentation. -- the  -- <code> -- long -- </code> --  millisecond length of a  -- <em> -- shaah zmanis -- </em> -- . If the calculation can't be computed         such as in the Arctic Circle where there is at least one day a year where the sun does not rise, and one         where it does not set, a  -- {@link Long#MIN_VALUE} -- Long#MIN_VALUE --  will be returned. See detailed explanation on top of the          -- {@link AstronomicalCalendar} -- AstronomicalCalendar --  documentation. -- @see #getAlos60() -- #getAlos60() -- @see #getTzais60() -- #getTzais60() -- @see #getPlagHamincha60Minutes() -- #getPlagHamincha60Minutes() -- "
yes,ShaahZmanis72Minutes,getShaahZmanis72Minutes(),,"Method to return a <em>shaah zmanis</em> (solar hour) according to the opinion of the <a href=""https://en.wikipedia.org/wiki/Avraham_Gombinern"">Magen Avraham (MGA)</a>. This calculation divides the day based on the opinion of the MGA that the day runs from dawn to dusk. Dawn for this calculation is 72 minutes before sunrise and dusk is 72 minutes after sunset. This day is split into 12 equal parts with each part being a <em>shaah zmanis</em>. Alternate methods of calculating a <em>shaah zmanis</em> are available in the subclass {@link ComplexZmanimCalendar}.@return the <code>long</code> millisecond length of a <em>shaah zmanis</em>. If the calculation can't be computed         such as in the Arctic Circle where there is at least one day a year where the sun does not rise, and one         where it does not set, a {@link Long#MIN_VALUE} will be returned. See detailed explanation on top of the         {@link AstronomicalCalendar} documentation. -- Method to return a  -- <em> -- shaah zmanis -- </em> --  (solar hour) according to the opinion of the  -- <a href=""https://en.wikipedia.org/wiki/Avraham_Gombinern""> -- href=""https://en.wikipedia.org/wiki/Avraham_Gombinern"" -- https://en.wikipedia.org/wiki/Avraham_Gombinern -- Magen Avraham (MGA) -- </a> -- . -- This calculation divides the day based on the opinion of the MGA that the day runs from dawn to dusk. Dawn for this calculation is 72 minutes before sunrise and dusk is 72 minutes after sunset. This day is split into 12 equal parts with each part being a  -- <em> -- shaah zmanis -- </em> -- . Alternate methods of calculating a  -- <em> -- shaah zmanis -- </em> --  are available in the subclass  -- {@link ComplexZmanimCalendar} -- ComplexZmanimCalendar -- . -- @return the <code>long</code> millisecond length of a <em>shaah zmanis</em>. If the calculation can't be computed         such as in the Arctic Circle where there is at least one day a year where the sun does not rise, and one         where it does not set, a {@link Long#MIN_VALUE} will be returned. See detailed explanation on top of the         {@link AstronomicalCalendar} documentation. -- the  -- <code> -- long -- </code> --  millisecond length of a  -- <em> -- shaah zmanis -- </em> -- . If the calculation can't be computed         such as in the Arctic Circle where there is at least one day a year where the sun does not rise, and one         where it does not set, a  -- {@link Long#MIN_VALUE} -- Long#MIN_VALUE --  will be returned. See detailed explanation on top of the          -- {@link AstronomicalCalendar} -- AstronomicalCalendar --  documentation. -- "
yes,ShaahZmanis72MinutesZmanis,getShaahZmanis72MinutesZmanis(),,"Method to return a <em>shaah zmanis</em> (temporal hour) according to the opinion of the <a href=""https://en.wikipedia.org/wiki/Avraham_Gombinern"">Magen Avraham (MGA)</a> based on <em>alos</em> being {@link #getAlos72Zmanis() 72} minutes <em>zmaniyos</em> before {@link #getSunrise() sunrise}. This calculation divides the day based on the opinion of the MGA that the day runs from dawn to dusk. Dawn for this calculation is 72 minutes <em>zmaniyos</em> before sunrise and dusk is 72 minutes <em>zmaniyos</em> after sunset. This day is split into 12 equal parts with each part being a <em>shaah zmanis</em>. This is identical to 1/10th of the day from {@link #getSunrise() sunrise} to {@link #getSunset() sunset}.@return the <code>long</code> millisecond length of a <em>shaah zmanis</em>. If the calculation can't be computed         such as in the Arctic Circle where there is at least one day a year where the sun does not rise, and one         where it does not set, a {@link Long#MIN_VALUE} will be returned. See detailed explanation on top of the         {@link AstronomicalCalendar} documentation.@see #getAlos72Zmanis()@see #getTzais72Zmanis() -- Method to return a  -- <em> -- shaah zmanis -- </em> --  (temporal hour) according to the opinion of the  -- <a href=""https://en.wikipedia.org/wiki/Avraham_Gombinern""> -- href=""https://en.wikipedia.org/wiki/Avraham_Gombinern"" -- https://en.wikipedia.org/wiki/Avraham_Gombinern -- Magen Avraham (MGA) -- </a> --  based on  -- <em> -- alos -- </em> --  being  -- {@link #getAlos72Zmanis() 72} -- #getAlos72Zmanis() -- 72 --  minutes  -- <em> -- zmaniyos -- </em> --  before  -- {@link #getSunrise() sunrise} -- #getSunrise() -- sunrise -- . -- This calculation divides the day based on the opinion of the MGA that the day runs from dawn to dusk. Dawn for this calculation is 72 minutes  -- <em> -- zmaniyos -- </em> --  before sunrise and dusk is 72 minutes  -- <em> -- zmaniyos -- </em> --  after sunset. This day is split into 12 equal parts with each part being a  -- <em> -- shaah zmanis -- </em> -- . This is identical to 1/10th of the day from  -- {@link #getSunrise() sunrise} -- #getSunrise() -- sunrise --  to  -- {@link #getSunset() sunset} -- #getSunset() -- sunset -- . -- @return the <code>long</code> millisecond length of a <em>shaah zmanis</em>. If the calculation can't be computed         such as in the Arctic Circle where there is at least one day a year where the sun does not rise, and one         where it does not set, a {@link Long#MIN_VALUE} will be returned. See detailed explanation on top of the         {@link AstronomicalCalendar} documentation. -- the  -- <code> -- long -- </code> --  millisecond length of a  -- <em> -- shaah zmanis -- </em> -- . If the calculation can't be computed         such as in the Arctic Circle where there is at least one day a year where the sun does not rise, and one         where it does not set, a  -- {@link Long#MIN_VALUE} -- Long#MIN_VALUE --  will be returned. See detailed explanation on top of the          -- {@link AstronomicalCalendar} -- AstronomicalCalendar --  documentation. -- @see #getAlos72Zmanis() -- #getAlos72Zmanis() -- @see #getTzais72Zmanis() -- #getTzais72Zmanis() -- "
yes,ShaahZmanis90Minutes,getShaahZmanis90Minutes(),,"Method to return a <em>shaah zmanis</em> (temporal hour) calculated using a dip of 90 minutes. This calculation divides the day based on the opinion of the <a href=""https://en.wikipedia.org/wiki/Avraham_Gombinern"">Magen Avraham (MGA)</a> that the day runs from dawn to dusk. Dawn for this calculation is 90 minutes before sunrise and dusk is 90 minutes after sunset. This day is split into 12 equal parts with each part being a <em>shaah zmanis</em>.@return the <code>long</code> millisecond length of a <em>shaah zmanis</em>. If the calculation can't be computed         such as in the Arctic Circle where there is at least one day a year where the sun does not rise, and one         where it does not set, a {@link Long#MIN_VALUE} will be returned. See detailed explanation on top of the         {@link AstronomicalCalendar} documentation. -- Method to return a  -- <em> -- shaah zmanis -- </em> --  (temporal hour) calculated using a dip of 90 minutes. -- This calculation divides the day based on the opinion of the  -- <a href=""https://en.wikipedia.org/wiki/Avraham_Gombinern""> -- href=""https://en.wikipedia.org/wiki/Avraham_Gombinern"" -- https://en.wikipedia.org/wiki/Avraham_Gombinern -- Magen Avraham (MGA) -- </a> --  that the day runs from dawn to dusk. Dawn for this calculation is 90 minutes before sunrise and dusk is 90 minutes after sunset. This day is split into 12 equal parts with each part being a  -- <em> -- shaah zmanis -- </em> -- . -- @return the <code>long</code> millisecond length of a <em>shaah zmanis</em>. If the calculation can't be computed         such as in the Arctic Circle where there is at least one day a year where the sun does not rise, and one         where it does not set, a {@link Long#MIN_VALUE} will be returned. See detailed explanation on top of the         {@link AstronomicalCalendar} documentation. -- the  -- <code> -- long -- </code> --  millisecond length of a  -- <em> -- shaah zmanis -- </em> -- . If the calculation can't be computed         such as in the Arctic Circle where there is at least one day a year where the sun does not rise, and one         where it does not set, a  -- {@link Long#MIN_VALUE} -- Long#MIN_VALUE --  will be returned. See detailed explanation on top of the          -- {@link AstronomicalCalendar} -- AstronomicalCalendar --  documentation. -- "
yes,ShaahZmanis90MinutesZmanis,getShaahZmanis90MinutesZmanis(),,"Method to return a <em>shaah zmanis</em> (temporal hour) according to the opinion of the <a href=""https://en.wikipedia.org/wiki/Avraham_Gombinern"">Magen Avraham (MGA)</a> based on <em>alos</em> being {@link #getAlos90Zmanis() 90} minutes <em>zmaniyos</em> before {@link #getSunrise() sunrise}. This calculation divides the day based on the opinion of the MGA that the day runs from dawn to dusk. Dawn for this calculation is 90 minutes <em>zmaniyos</em> before sunrise and dusk is 90 minutes <em>zmaniyos</em> after sunset. This day is split into 12 equal parts with each part being a <em>shaah zmanis</em>. This is 1/8th of the day from {@link #getSunrise() sunrise} to {@link #getSunset() sunset}.@return the <code>long</code> millisecond length of a <em>shaah zmanis</em>. If the calculation can't be computed         such as in the Arctic Circle where there is at least one day a year where the sun does not rise, and one         where it does not set, a {@link Long#MIN_VALUE} will be returned. See detailed explanation on top of the         {@link AstronomicalCalendar} documentation.@see #getAlos90Zmanis()@see #getTzais90Zmanis() -- Method to return a  -- <em> -- shaah zmanis -- </em> --  (temporal hour) according to the opinion of the  -- <a href=""https://en.wikipedia.org/wiki/Avraham_Gombinern""> -- href=""https://en.wikipedia.org/wiki/Avraham_Gombinern"" -- https://en.wikipedia.org/wiki/Avraham_Gombinern -- Magen Avraham (MGA) -- </a> --  based on  -- <em> -- alos -- </em> --  being  -- {@link #getAlos90Zmanis() 90} -- #getAlos90Zmanis() -- 90 --  minutes  -- <em> -- zmaniyos -- </em> --  before  -- {@link #getSunrise() sunrise} -- #getSunrise() -- sunrise -- . -- This calculation divides the day based on the opinion of the MGA that the day runs from dawn to dusk. Dawn for this calculation is 90 minutes  -- <em> -- zmaniyos -- </em> --  before sunrise and dusk is 90 minutes  -- <em> -- zmaniyos -- </em> --  after sunset. This day is split into 12 equal parts with each part being a  -- <em> -- shaah zmanis -- </em> -- . This is 1/8th of the day from  -- {@link #getSunrise() sunrise} -- #getSunrise() -- sunrise --  to  -- {@link #getSunset() sunset} -- #getSunset() -- sunset -- . -- @return the <code>long</code> millisecond length of a <em>shaah zmanis</em>. If the calculation can't be computed         such as in the Arctic Circle where there is at least one day a year where the sun does not rise, and one         where it does not set, a {@link Long#MIN_VALUE} will be returned. See detailed explanation on top of the         {@link AstronomicalCalendar} documentation. -- the  -- <code> -- long -- </code> --  millisecond length of a  -- <em> -- shaah zmanis -- </em> -- . If the calculation can't be computed         such as in the Arctic Circle where there is at least one day a year where the sun does not rise, and one         where it does not set, a  -- {@link Long#MIN_VALUE} -- Long#MIN_VALUE --  will be returned. See detailed explanation on top of the          -- {@link AstronomicalCalendar} -- AstronomicalCalendar --  documentation. -- @see #getAlos90Zmanis() -- #getAlos90Zmanis() -- @see #getTzais90Zmanis() -- #getTzais90Zmanis() -- "
yes,ShaahZmanis96MinutesZmanis,getShaahZmanis96MinutesZmanis(),,"Method to return a <em>shaah zmanis</em> (temporal hour) according to the opinion of the <a href=""https://en.wikipedia.org/wiki/Avraham_Gombinern"">Magen Avraham (MGA)</a> based on <em>alos</em> being {@link #getAlos96Zmanis() 96} minutes <em>zmaniyos</em> before {@link #getSunrise() sunrise}. This calculation divides the day based on the opinion of the MGA that the day runs from dawn to dusk. Dawn for this calculation is 96 minutes <em>zmaniyos</em> before sunrise and dusk is 96 minutes <em>zmaniyos</em> after sunset. This day is split into 12 equal parts with each part being a <em>shaah zmanis</em>. This is identical to 1/7.5th of the day from {@link #getSunrise() sunrise} to {@link #getSunset() sunset}.@return the <code>long</code> millisecond length of a <em>shaah zmanis</em>. If the calculation can't be computed         such as in the Arctic Circle where there is at least one day a year where the sun does not rise, and one         where it does not set, a {@link Long#MIN_VALUE} will be returned. See detailed explanation on top of the         {@link AstronomicalCalendar} documentation.@see #getAlos96Zmanis()@see #getTzais96Zmanis() -- Method to return a  -- <em> -- shaah zmanis -- </em> --  (temporal hour) according to the opinion of the  -- <a href=""https://en.wikipedia.org/wiki/Avraham_Gombinern""> -- href=""https://en.wikipedia.org/wiki/Avraham_Gombinern"" -- https://en.wikipedia.org/wiki/Avraham_Gombinern -- Magen Avraham (MGA) -- </a> --  based on  -- <em> -- alos -- </em> --  being  -- {@link #getAlos96Zmanis() 96} -- #getAlos96Zmanis() -- 96 --  minutes  -- <em> -- zmaniyos -- </em> --  before  -- {@link #getSunrise() sunrise} -- #getSunrise() -- sunrise -- . -- This calculation divides the day based on the opinion of the MGA that the day runs from dawn to dusk. Dawn for this calculation is 96 minutes  -- <em> -- zmaniyos -- </em> --  before sunrise and dusk is 96 minutes  -- <em> -- zmaniyos -- </em> --  after sunset. This day is split into 12 equal parts with each part being a  -- <em> -- shaah zmanis -- </em> -- . This is identical to 1/7.5th of the day from  -- {@link #getSunrise() sunrise} -- #getSunrise() -- sunrise --  to  -- {@link #getSunset() sunset} -- #getSunset() -- sunset -- . -- @return the <code>long</code> millisecond length of a <em>shaah zmanis</em>. If the calculation can't be computed         such as in the Arctic Circle where there is at least one day a year where the sun does not rise, and one         where it does not set, a {@link Long#MIN_VALUE} will be returned. See detailed explanation on top of the         {@link AstronomicalCalendar} documentation. -- the  -- <code> -- long -- </code> --  millisecond length of a  -- <em> -- shaah zmanis -- </em> -- . If the calculation can't be computed         such as in the Arctic Circle where there is at least one day a year where the sun does not rise, and one         where it does not set, a  -- {@link Long#MIN_VALUE} -- Long#MIN_VALUE --  will be returned. See detailed explanation on top of the          -- {@link AstronomicalCalendar} -- AstronomicalCalendar --  documentation. -- @see #getAlos96Zmanis() -- #getAlos96Zmanis() -- @see #getTzais96Zmanis() -- #getTzais96Zmanis() -- "
